,filename,top_annotation,bottom_annotation
0,clean_xml_thread99.MN.infoadded.xml,"99
Annotation for intention:

External-event-planning: reviewing forms from TXU Fuel Company


Annotation for control:
Keith Ford: Keith initiates the thread and asks Daren Farmer to review the forms and send him information if Daren wants to put contracts in place.


<?xml version=""1.0""?>



<!--

-

- Sequel Pro dump

- Version 155

- http://code.google.com/p/sequel-pro

-

- Host: 127.0.0.1 (MySQL 5.0.67)

- Database: enron

- Generation Time: 2008-12-01 15:20:28 -0500

-

-->



	","

Hierarchical Power Annotation: N/A
Person_1: 
Person_2:
Reason: 

Situational Power Annotation:
Person_1: Keith Ford
Person_2: Daren J Farmer
Reason: Keith asks Daren to look at and fill out forms if interested in message 1.

Person_1: Daren J Farmer
Person_2: Anthony Campos
Reason: From Anthony's comments in message 2, it seems that Daren has asked Anthony to forward a request, which Anthony says he has done.

Attempt at Exercising Power Annotation:
DFUs: M1.5-M1.6
Person_1: Keith Ford
Person_2: Daren J Farmer
Type: Situational
Successful?: Y
Reason: Keith asks Daren to look at and fill out forms if interested in message 1, and from message 2 from Anthony Campos, it seems that Daren has done so.

Influence Annotation: N/A
Person_1:
Person_2:
Reason:

Attempt at Influence Annotation: N/A
DFUs: 
Person_1:
Person_2:
Successful?:
Reason: 
"
1,clean_xml_thread104.MN.infoadded.xml,"104
Annotation for intention:

Argumentation/Knowledge-Acquisition: Iris' inadequate meeting summary/correction of date and what Iris and others are working on

Annotation for control:
Scott Salmon: Scott initiates the thread and tells Iris Mack that her summary was inadequate and that a date she included was incorrect.



<?xml version=""1.0""?>



<!--

-

- Sequel Pro dump

- Version 155

- http://code.google.com/p/sequel-pro

-

- Host: 127.0.0.1 (MySQL 5.0.67)

- Database: enron

- Generation Time: 2008-12-12 17:38:11 -0500

-

-->



	","

Hierarchical Power Annotation:
Person_1: Scott Salmon
Person_2: Iris Mack
Reason: In message 1, Scott criticizes Iris' report.

Situational Power Annotation:
Person_1: Scott Salmon
Person_2: Iris Mack
Reason: In message 1, Scott criticizes Iris' report.

Attempt at Exercising Power Annotation: N/A
DFUs: 
Person_1:
Person_2:
Type:
Successful?:
Reason: 

Influence Annotation: N/A
Person_1:
Person_2:
Reason:

Attempt at Influence Annotation:
DFUs: M1.3-M1.6, M1.9, M1.14
Person_1: Scott Salmon
Person_2: Iris Mack
Successful?: N
Reason: In message 2, Iris ignores Scott's criticisms of the report she submitted to him, except to agree that a date was incorrect because she had understood it to be in the European format. 
"
2,clean_xml_thread86.MN.infoadded.xml,"86

Annotation for intention:

Argumentation: grace period to maximize desks' VAR/Dynegy's program that mirrors EOL's cash markets


Annotation for control:
Hunter S Shively: Hunter initiates the thread and offers his opinions on fines and Enron Online.




<?xml version=""1.0""?>



<!--

-

- Sequel Pro dump

- Version 155

- http://code.google.com/p/sequel-pro

-

- Host: 127.0.0.1 (MySQL 5.0.67)

- Database: enron

- Generation Time: 2008-12-01 15:21:48 -0500

-

-->



	","


Hierarchical Power Annotation: N/A
Person_1: 
Person_2: 
Reason: 

Situational Power Annotation: N/A
Person_1: 
Person_2: 
Reason: 

Attempt at Exercising Power Annotation:
DFUs: M3.1
Person_1: John Lavorato
Person_2: Hunter S Shively
Type: Situational
Successful?: No Reply
Reason: John asks Hunter to call him to discuss the Dynegy program.

Influence Annotation:
Person_1: Hunter S Shively
Person_2: John Lavorato
Reason: Hunter attempts to convince John of his views on fines and Enron Online in message 1, and in message 3, John expresses interest in discussing something Hunter mentioned, showing that Hunter has credibility.

Attempt at Influence Annotation:
DFUs: M1.2-M1.10
Person_1: Hunter S Shively
Person_2: John Lavorato
Successful?: N
Reason: HunterÕs opinion about fines is ignored in message 3 from John, who only mentions the Dynegy program.


"
3,clean_xml_thread92.MN.infoadded.xml,"92
Annotation for intention:
Argumentation: Accenture shouldn't take credit for EnronOnline's success or talk to a reporter about Enron


Annotation for control:
Vance Meyer: Vance initiates the thread and forwards an earlier thread about an interview with someone at Enron regarding EnronOnline's success to Kal, Greg, and Andy, and is the first person to express the opinion that Accenture shouldn't take credit for EnronOnline's success.


<?xml version=""1.0""?>



<!--

-

- Sequel Pro dump

- Version 155

- http://code.google.com/p/sequel-pro

-

- Host: 127.0.0.1 (MySQL 5.0.67)

- Database: enron

- Generation Time: 2008-12-01 15:18:35 -0500

-

-->



	","

Hierarchical Power Annotation: N/A
Person_1: 
Person_2: 
Reason: 

Situational Power Annotation: N/A
Person_1: 
Person_2: 
Reason: 

Attempt at Exercising Power Annotation: N/A
DFUs: 
Person_1:
Person_2:
Type:
Successful?:
Reason: 

Influence Annotation:
Person_1: Vance Meyer
Person_2: Kal Shah
Reason: Vance's opinion that Accenture was in the wrong (M1.4) is echoed by Kal in M2.6-M2.7.

Attempt at Influence Annotation:
DFUs: M1.4
Person_1: Vance Meyer
Person_2: Kal Shah
Successful?: Y
Reason: Vance's opinion that Accenture was in the wrong is echoed by Kal in M2.6-M2.7.
"
4,clean_xml_thread89.MN.infoadded.xml,"89

Annotation for intention:

External-event-planning: recruiting volunteers for an interview event



Annotation for control:
Karen Buckley: Karen initiates the thread, asking for volunteers in message 1, and others respond to her in later messages.



<?xml version=""1.0""?>



<!--

-

- Sequel Pro dump

- Version 155

- http://code.google.com/p/sequel-pro

-

- Host: 127.0.0.1 (MySQL 5.0.67)

- Database: enron

- Generation Time: 2008-12-01 15:22:27 -0500

-

-->



	","


Hierarchical Power Annotation: N/A
Person_1: 
Person_2: 
Reason: 

Situational Power Annotation:
Person_1: Karen Buckley
Person_2: Elizabeth Shim, Vince J Kaminski(address:""Matt.Smith@ENRON.com""), To(1)
Reason: In message 1 Karen asks for people to volunteer for the event. In messages 2, 3, and 5, Elizabeth and Mat (Vince) offer to do so.

Attempt at Exercising Power Annotation:
DFUs: M1.10-M1.12
Person_1: Karen Buckley
Person_2: Elizabeth Shim, Vince J Kaminski(address:""Matt.Smith@ENRON.com"")
Type: Situational
Successful?: Y
Reason: In message 1 Karen asks people to volunteer for the event. In messages 2, 3, and 5, Elizabeth and Mat (Vince) offer to do so.

Influence Annotation: N/A
Person_1:
Person_2:
Reason:

Attempt at Influence Annotation: N/A
DFUs: 
Person_1:
Person_2:
Successful?:
Reason: 


"
5,clean_xml_thread96.MN.infoadded.xml,"96
Annotation for intention:

Knowledge-Acquisition/Argumentation: information about an oil storage deal between Peerless and Enron/Dan's opinion on it


Annotation for control:
Jaime Sanabria: Jaime initiates the thread and gets Dan Masters (""Richard Shapiro"") to express his opinion on the deal.


<?xml version=""1.0""?>



<!--

-

- Sequel Pro dump

- Version 155

- http://code.google.com/p/sequel-pro

-

- Host: 127.0.0.1 (MySQL 5.0.67)

- Database: enron

- Generation Time: 2008-12-01 15:19:48 -0500

-

-->



	","

Hierarchical Power Annotation: N/A
Person_1: 
Person_2: 
Reason: 

Situational Power Annotation: N/A
Person_1: 
Person_2: 
Reason: 

Attempt at Exercising Power Annotation: N/A
DFUs: 
Person_1:
Person_2:
Type:
Successful?:
Reason: 

Influence Annotation:
Person_1: Richard Shapiro(address:""Paul.YBarbo@ENRON.com""), Richard Shapiro(address:""Dan.Masters@ENRON.com"")
Person_2: Jaime Sanabria
Reason: Dan (Richard's name appears with Dan's email address) and Paul (Richard's name also appears with Paul's email) are asked for their opinions in M1.1-M1.2 by Jaime.

Attempt at Influence Annotation:
DFUs: M3.1
Person_1: Richard Shapiro(address:""Dan.Masters@ENRON.com"")
Person_2: Jaime Sanabria, Rick Sierra, James McMillan
Successful?: No Reply
Reason: In message 3, Dan (Richard) tells the others how he thinks they should charge Peerless.
"
6,clean_xml_thread100.MN.infoadded.xml,"100
Annotation for intention:

External-event-planning/Knowledge-Acquisition: celebration of EnronOnline's one millionth transaction/why Claudio is remaining in Jeff's group

Annotation for control:
Andy Zipper, Jeff Dasovich(address:""Jeffrey.A.Shankman@ENRON.com""): Andy initiates the thread and invites the others to the celebration in message 1. In message 3, Jeff discusses Claudio's group status.



<?xml version=""1.0""?>



<!--

-

- Sequel Pro dump

- Version 155

- http://code.google.com/p/sequel-pro

-

- Host: 127.0.0.1 (MySQL 5.0.67)

- Database: enron

- Generation Time: 2008-12-12 17:37:04 -0500

-

-->



	","

Hierarchical Power Annotation: N/A
Person_1:
Person_2:
Reason:

Situational Power Annotation:
Person_1: Andy Zipper
Person_2: Fletcher Sturm, To(1)
Reason: Andy invites Fletcher and others to the party for EnronOnline in message 1.

Person_1: Jeff Dasovich(address:""Jeffrey.A.Shankman@ENRON.com"")
Person_2: Andy Zipper
Reason: In message 3, from what Jeff says, it seems like he has the power to decide whether Claudio stays in his group or not.

Attempt at Exercising Power Annotation:
DFUs: M1.2
Person_1: Andy Zipper
Person_2: Fletcher Sturm
Type: Situational
Successful?: Y
Reason: After Andy asks whether the recipients of message 1 can attend the party, Fletcher RSVPs in M2.2.

Influence Annotation: N/A
Person_1:
Person_2:
Reason:

Attempt at Influence Annotation: N/A
DFUs: 
Person_1:
Person_2:
Successful?:
Reason: 
"
7,clean_xml_thread82.MN.infoadded.xml,"82

Annotation for intention:

Knowledge-Acquisition: letter from FERC requesting an inquiry into EnronOnline

Annotation for control:
Lisa Yoho: Lisa informs the others of what is in the letter.



<?xml version=""1.0""?>



<!--

-

- Sequel Pro dump

- Version 155

- http://code.google.com/p/sequel-pro

-

- Host: 127.0.0.1 (MySQL 5.0.67)

- Database: enron

- Generation Time: 2008-12-01 15:20:45 -0500

-

-->



	","


Hierarchical Power Annotation: N/A
Person_1: 
Person_2: 
Reason: 

Situational Power Annotation: N/A
Person_1: 
Person_2: 
Reason: 

Attempt at Exercising Power Annotation: N/A
DFUs: 
Person_1:
Person_2:
Type:
Successful?:
Reason: 

Influence Annotation: N/A
Person_1: 
Person_2: 
Reason: 

Attempt at Influence Annotation: N/A
DFUs: 
Person_1:
Person_2:
Successful?:
Reason: 


"
8,clean_xml_thread105.MN.infoadded.xml,"105
Annotation for intention:

Collaboration-on-information-product: sending an email to traders regarding a launch of something Reuters-related

Annotation for control:
Savita Puthigai: Savita initiates the thread and asks Andy Zipper and Michael Bridges whether the email needs to be sent out to traders.



<?xml version=""1.0""?>



<!--

-

- Sequel Pro dump

- Version 155

- http://code.google.com/p/sequel-pro

-

- Host: 127.0.0.1 (MySQL 5.0.67)

- Database: enron

- Generation Time: 2008-12-12 17:38:27 -0500

-

-->



	","

Hierarchical Power Annotation: N/A
Person_1: 
Person_2: 
Reason: 

Situational Power Annotation:
Person_1: Andy Zipper, Michael Bridges
Person_2: Savita Puthigai
Reason: Savita asks Andy whether to send out an email in message 1, and Michael answers, showing that Andy and Michael know more about it.

Attempt at Exercising Power Annotation: N/A
DFUs: 
Person_1:
Person_2:
Type:
Successful?:
Reason: 

Influence Annotation: N/A
Person_1: 
Person_2: 
Reason:

Attempt at Influence Annotation: N/A
DFUs: 
Person_1:
Person_2:
Successful?:
Reason: 
"
9,clean_xml_thread98.MN.infoadded.xml,"98
Annotation for intention:

External-event-planning: attendance of lunch/office visit


Annotation for control:
Karen Buckley: Karen initiates the thread and asks the others to tell her whether they can attend the lunch or the office visit.


<?xml version=""1.0""?>



<!--

-

- Sequel Pro dump

- Version 155

- http://code.google.com/p/sequel-pro

-

- Host: 127.0.0.1 (MySQL 5.0.67)

- Database: enron

- Generation Time: 2008-12-01 15:20:13 -0500

-

-->



	","

Hierarchical Power Annotation: N/A
Person_1: 
Person_2: 
Reason: 

Situational Power Annotation:
Person_1: Karen Buckley
Person_2: Jason Wolfe, To(1)
Reason: Karen seems to be in charge of organizing a lunch and office visit, and in message 1 asks the others to tell her if they can make it.

Attempt at Exercising Power Annotation:
DFUs: M1.2-M1.3
Person_1: Karen Buckley
Person_2: Jason Wolfe
Type: Situational
Successful?: Y
Reason: Karen asks Jason and the other email recipients to confirm whether they can attend two events, and Jason responds in M2.2-M2.4.

Influence Annotation: N/A
Person_1:
Person_2:
Reason:

Attempt at Influence Annotation: N/A
DFUs: 
Person_1:
Person_2:
Successful?:
Reason: 
"
